First Name,Last Name,Category1,Category2,Category3,Category4,Category5,Email
Billy,Vamplus,5,1,3,4,5,vamplub@school.edu
Patrizia,Van den Velden,3,1,2,5,4,van dep@school.edu
Jaimie,Vautrey,2,4,5,1,3,vautrej@school.edu
Morgan,Venard,5,4,3,4,2,venardm@school.edu
Melamie,Wadman,4,4,2,4,4,wadmanm@school.edu
Jacenta,Wakeham,1,4,3,4,2,wakehaj@school.edu
Obadiah,Walthew,2,3,4,1,2,waltheo@school.edu
Goran,Warfield,5,3,5,1,2,warfieg@school.edu
Salvatore,Warkup,2,1,4,5,3,warkups@school.edu
Aigneis,Watting,4,5,4,2,4,wattina@school.edu
Dyann,Wawer,1,3,4,2,2,wawerd@school.edu
Nikos,Wellwood,2,4,3,5,4,wellwon@school.edu
Maxine,Wewell,3,3,5,3,4,wewellm@school.edu
Blane,Wheatcroft,5,2,2,5,5,wheatcb@school.edu
Chiarra,Willbourne,3,4,3,2,5,willboc@school.edu
Georgie,Willwood,1,2,1,2,3,willwog@school.edu
Mira,Wilsone,4,3,4,3,3,wilsonm@school.edu
Amandy,Windrass,5,1,4,3,3,windraa@school.edu
Nicol,Wissby,5,4,4,4,2,wissbyn@school.edu
Fianna,Witt,5,4,1,5,1,wittf@school.edu
Suzy,Wolseley,4,3,3,5,4,wolsels@school.edu
Ranna,Worcester,4,3,3,3,5,worcesr@school.edu
Thacher,Worgan,2,2,5,2,1,worgant@school.edu
Mort,Worrill,5,5,5,1,1,worrilm@school.edu
Darcy,Wortt,3,3,2,4,1,worttd@school.edu
Svend,Wyant,3,3,3,4,4,wyants@school.edu
Consuelo,Wyss,3,2,2,3,3,wyssc@school.edu
Tulley,Yakob,3,2,3,2,1,yakobt@school.edu
Bell,Yallowley,1,5,2,1,1,yallowb@school.edu
Ginny,Yanyshev,3,2,4,2,2,yanyshg@school.edu
Joanna,Yashanov,5,2,3,2,4,yashanj@school.edu
Ingaborg,Zannuto,4,4,3,4,5,zannuti@school.edu
Catie,Zecchetti,1,2,5,3,4,zecchec@school.edu
Gus,Zecchetti,5,2,2,4,1,zeccheg@school.edu
Dannel,Zumbusch,2,1,2,3,4,zumbusd@school.edu
