First Name,Last Name,Major(s),Year,Standing,Email
Bennie,Stenning,BE,Y2,SO,stennib@school.edu
Maxine,Wewell,OE,Y3,JR,wewellm@school.edu
Adlai,Dablin,CS,Y1,FR,dablina@school.edu
Orrin,Danihelka,CS,Y2,JR,daniheo@school.edu
Greg,Kildahl,AB,Y4,SR,kildahg@school.edu
Teresina,Mosedall,EE,Y1,SO,mosedat@school.edu
Catie,Zecchetti,SE,Y5,SR,zecchec@school.edu
Regina,Redholls,MA,Y2,JR,redholr@school.edu
Lenee,Goldston,OE,Y4,JR,goldstl@school.edu
Jeremie,Rapsey,PH,Y1,FR,rapseyj@school.edu
Cathy,Crowdy,CHEM,Y2,SO,crowdyc@school.edu
Stanislaw,Filoniere,CPE,Y4,JR,filonis@school.edu
Kevan,Bullar,MA,Y5,SR,bullark@school.edu
Emyle,Spens,CHE,Y2,FR,spense@school.edu
Janine,Sydes,EE,Y3,SR,sydesj@school.edu
Hermina,Parsonson,OE,Y2,FR,parsonh@school.edu
Chiarra,Willbourne,SE,Y3,JR,willboc@school.edu
Margot,Mather,BE,Y5,SR,matherm@school.edu
Aretha,Lampl,AB,Y2,JR,lampla@school.edu
Nappy,Haylock,CPE,Y3,SR,haylocn@school.edu
Michaela,Lysons,PH,Y2,JR,lysonsm@school.edu
Pierson,Bradwell,BE,Y2,SO,bradwep@school.edu
Ileane,Beaford,AB,Y2,FR,beafori@school.edu
Happy,Keddie,CPE,Y5,SR,keddieh@school.edu
Greg,Smith,CS,Y3,JR,smithg2@school.edu
Mab,Schimann,PH,Y2,SO,schimam@school.edu
Cody,Dedon,CHEM,Y4,SR,dedonc@school.edu
Henka,Brewood,EE,Y3,SO,brewooh@school.edu
Merrill,Gilliard,EE,Y3,SO,gilliam@school.edu
Marybeth,Cobbe,OE,Y3,SO,cobbem@school.edu
Dorri,Lafflina,BE,Y2,JR,lafflid@school.edu
Nil,Guisot,AB,Y5,SR,guisotn@school.edu
Gwennie,Pippin,CHEM,Y4,SR,pipping@school.edu
Webster,Pickford,EE,Y2,JR,pickfow@school.edu
Tallie,Catto,EE,Y1,SO,cattot@school.edu
Fianna,Witt,EE,Y3,SR,wittf@school.edu
Wallie,Bramsom,MA,Y2,JR,bramsow@school.edu
Wilow,Scolts,MA,Y2,FR,scoltsw@school.edu
Ansell,Errichelli,MA,Y1,FR,erricha@school.edu
Genni,Skace,SE,Y2,SO,skaceg@school.edu
Consuelo,Wyss,AB,Y2,SO,wyssc@school.edu
Yardley,Rizzotto,SE,Y2,SO,rizzoty@school.edu
